             x0     alpha  armijo  is_global_min_found  number_of_iterations  global_min_accuracy  found_value  known_function_min
84     9.722525  0.759179    True                 True                     8             0.000015    -0.414926           -0.414912
85   -10.277819  0.751330    True                 True                     7             0.000015    -0.414897           -0.414912
86     6.453760  0.759179    True                 True                    10             0.000015    -0.414926           -0.414912
87     0.006362  0.759179    True                 True                     5             0.000015    -0.414927           -0.414912
88    -4.894154  0.759179    True                 True                     6             0.000015    -0.414927           -0.414912
89    -2.998408  0.759179    True                 True                     7             0.000015    -0.414927           -0.414912
90     4.937668  0.759179    True                 True                     6             0.000015    -0.414927           -0.414912
91   -13.737198  0.759179    True                 True                     9             0.000015    -0.414927           -0.414912
92     0.006362  0.797937    True                 True                     6             0.000015    -0.414896           -0.414912
93     1.468039  0.797937    True                 True                     6             0.000015    -0.414896           -0.414912
94    -2.276721  0.086733   False                 True                    11             0.000015    -0.414896           -0.414912
95    -2.276721  0.086733    True                 True                    11             0.000015    -0.414896           -0.414912
96    -8.657883  0.759179    True                 True                     8             0.000015    -0.414927           -0.414912
97     5.906892  0.797937    True                 True                     7             0.000016    -0.414896           -0.414912
98    12.832422  0.751330    True                 True                     7             0.000016    -0.414927           -0.414912
99    -4.617293  0.759179    True                 True                     7             0.000016    -0.414927           -0.414912
100   -5.317393  0.759179    True                 True                     7             0.000016    -0.414927           -0.414912
101   14.617436  0.759179    True                 True                     8             0.000016    -0.414927           -0.414912
102   -5.041378  0.759179    True                 True                     7             0.000016    -0.414927           -0.414912
103   -9.263166  0.797937    True                 True                     9             0.000016    -0.414896           -0.414912
104   -5.370037  0.797937    True                 True                     8             0.000016    -0.414896           -0.414912
105   -9.878471  0.797937    True                 True                     9             0.000016    -0.414896           -0.414912
106    5.357922  0.759179    True                 True                     8             0.000016    -0.414928           -0.414912
107   10.973060  0.759179    True                 True                    10             0.000016    -0.414928           -0.414912
108  -13.857267  0.797937    True                 True                     8             0.000016    -0.414895           -0.414912
109   -2.276721  0.751330    True                 True                     4             0.000016    -0.414928           -0.414912
110    6.453760  0.797937    True                 True                     9             0.000016    -0.414895           -0.414912
111    5.906892  0.759179    True                 True                     8             0.000016    -0.414928           -0.414912
112  -10.277819  0.759179    True                 True                     7             0.000016    -0.414928           -0.414912
113   -0.053171  0.797937    True                 True                     6             0.000016    -0.414895           -0.414912
114  -13.356896  0.797937    True                 True                    12             0.000016    -0.414895           -0.414912
115  -12.039283  0.759179    True                 True                     7             0.000016    -0.414928           -0.414912
116    1.999779  0.759179    True                 True                     5             0.000016    -0.414928           -0.414912
117  -13.737198  0.797937    True                 True                     9             0.000016    -0.414895           -0.414912
118   -9.878471  0.759179    True                 True                     9             0.000016    -0.414928           -0.414912
119   -0.053171  0.759179    True                 True                     5             0.000016    -0.414928           -0.414912
120   10.973060  0.797937    True                 True                     8             0.000016    -0.414895           -0.414912
121    1.422025  0.759179    True                 True                     6             0.000016    -0.414928           -0.414912
122    7.710597  0.797937    True                 True                     7             0.000017    -0.414895           -0.414912
123    3.825937  0.759179    True                 True                     6             0.000017    -0.414928           -0.414912
124   -4.617293  0.797937    True                 True                    10             0.000017    -0.414895           -0.414912
125    4.937668  0.751330   False                 True                   187             0.000018    -0.414894           -0.414912
126   -4.894154  0.411824    True                 True                     7             0.000018    -0.414894           -0.414912
127   -9.422631  0.751330    True                 True                     7             0.000018    -0.414894           -0.414912
128    1.422025  0.797937    True                 True                     5             0.000019    -0.414893           -0.414912
129   -5.317393  0.267248   False                 True                   739             0.000019    -0.414930           -0.414912
130  -13.356896  0.751330    True                 True                     8             0.000019    -0.414930           -0.414912
131  -13.857267  0.751330    True                 True                     5             0.000019    -0.414931           -0.414912
132    3.825937  0.411824    True                 True                     5             0.000019    -0.414931           -0.414912
133   -8.657883  0.797937    True                 True                     8             0.000020    -0.414892           -0.414912
134   -8.657883  0.212980    True                 True                    10             0.000020    -0.414932           -0.414912
135   -7.970052  0.759179    True                 True                     5             0.000020    -0.414891           -0.414912
136    5.906892  0.212980    True                 True                     9             0.000021    -0.414932           -0.414912
137   14.617436  0.212980    True                 True                    12             0.000021    -0.414933           -0.414912
138  -13.737198  0.212980    True                 True                    12             0.000021    -0.414933           -0.414912
139   -5.041378  0.212980    True                 True                    12             0.000021    -0.414933           -0.414912
140   -7.970052  0.797937    True                 True                     5             0.000021    -0.414890           -0.414912
141   -7.970052  0.745084    True                 True                     6             0.000022    -0.414889           -0.414912
142   -5.370037  0.411824    True                 True                     5             0.000023    -0.414934           -0.414912
143  -13.737198  0.751330    True                 True                     7             0.000023    -0.414888           -0.414912
144    7.710597  0.948744   False                 True                   605             0.000024    -0.414935           -0.414912
145   -4.617293  0.110111   False                 True                    15             0.000024    -0.414888           -0.414912
146   -4.617293  0.110111    True                 True                    15             0.000024    -0.414888           -0.414912
147   12.832422  0.579279   False                 True                   990             0.000024    -0.414888           -0.414912
148   -2.276721  0.110111   False                 True                    14             0.000024    -0.414888           -0.414912
149   -2.276721  0.110111    True                 True                    14             0.000024    -0.414888           -0.414912
150   -9.263166  0.110111   False                 True                    18             0.000024    -0.414888           -0.414912
151   -9.263166  0.110111    True                 True                    18             0.000024    -0.414888           -0.414912
152    0.006362  0.110111   False                 True                     7             0.000024    -0.414888           -0.414912
153    0.006362  0.110111    True                 True                     7             0.000024    -0.414888           -0.414912
154   -9.422631  0.110111   False                 True                    18             0.000024    -0.414888           -0.414912
155   -9.422631  0.110111    True                 True                    18             0.000024    -0.414888           -0.414912
156  -12.879656  0.110111   False                 True                    20             0.000024    -0.414888           -0.414912
157  -12.879656  0.110111    True                 True                    20             0.000024    -0.414888           -0.414912
158  -13.857267  0.212980    True                 True                    14             0.000024    -0.414936           -0.414912
159    1.468039  0.886450    True                 True                     8             0.000025    -0.414887           -0.414912
160  -10.277819  0.443418    True                 True                    10             0.000025    -0.414887           -0.414912
161   -7.970052  0.212980    True                 True                    10             0.000025    -0.414936           -0.414912
162    1.999779  0.212980    True                 True                     8             0.000025    -0.414937           -0.414912
163    1.468039  0.887487    True                 True                     8             0.000025    -0.414886           -0.414912
164   -9.568790  0.212980    True                 True                    12             0.000025    -0.414937           -0.414912
165  -12.879656  0.443418    True                 True                     7             0.000026    -0.414886           -0.414912
166  -10.277819  0.212980    True                 True                    12             0.000026    -0.414938           -0.414912
167  -13.356896  0.212980    True                 True                    12             0.000026    -0.414938           -0.414912
168  -12.879656  0.887487    True                 True                    11             0.000026    -0.414886           -0.414912
169   -2.276721  0.797937    True                 True                     5             0.000026    -0.414885           -0.414912
170   -9.422631  0.759179    True                 True                     7             0.000026    -0.414938           -0.414912
