        alpha  armijo  Global_min_finds (%)  Other_min_finds (%)  Out_of_iterations (%)  Average_number_of_iterations  Average_global_min_accuracy
89   0.374616   False              0.000000            40.000000              60.000000                         779.0                          NaN
90   0.373568   False              0.000000            41.666667              58.333333                         780.0                          NaN
91   0.228277   False              0.000000            20.000000              80.000000                         810.0                          NaN
92   0.490920   False              0.000000            18.333333              81.666667                         905.0                          NaN
93   0.490315   False              0.000000            18.333333              81.666667                         912.0                          NaN
94   0.338808   False              0.000000            16.666667              83.333333                         934.0                          NaN
95   0.775614   False              0.000000             8.333333              91.666667                         948.0                          NaN
96   0.823512   False              0.000000             8.333333              91.666667                         950.0                          NaN
97   0.336794   False              0.000000             8.333333              91.666667                         954.0                          NaN
98   0.581700   False              0.000000             6.666667              93.333333                         959.0                          NaN
99   0.344184   False              0.000000             6.666667              93.333333                         963.0                          NaN
100  0.887903   False              0.000000             5.000000              95.000000                         963.0                          NaN
101  0.782663   False              0.000000             8.333333              91.666667                         968.0                          NaN
102  0.656670   False              0.000000             3.333333              96.666667                         971.0                          NaN
103  0.424815   False              0.000000             5.000000              95.000000                         976.0                          NaN
104  0.957662   False              0.000000             5.000000              95.000000                         983.0                          NaN
105  0.960829   False              0.000000             3.333333              96.666667                         983.0                          NaN
106  0.352726   False              0.000000             3.333333              96.666667                         996.0                          NaN
107  0.249293   False              0.000000             0.000000             100.000000                        1000.0                          NaN
108  0.305166   False              0.000000             0.000000             100.000000                        1000.0                          NaN
109  0.324406   False              0.000000             0.000000             100.000000                        1000.0                          NaN
110  0.675515   False              0.000000             0.000000             100.000000                        1000.0                          NaN
111  0.849985   False              0.000000             0.000000             100.000000                        1000.0                          NaN
112  0.997938   False              0.000000             0.000000             100.000000                        1000.0                          NaN
113  1.014596   False              0.000000             0.000000             100.000000                        1000.0                          NaN
114  1.029180   False              0.000000             0.000000             100.000000                        1000.0                          NaN
115  1.033643   False              0.000000             0.000000             100.000000                        1000.0                          NaN
116  1.038131   False              0.000000             0.000000             100.000000                        1000.0                          NaN
117  1.044023   False              0.000000             0.000000             100.000000                        1000.0                          NaN
118  1.062749   False              0.000000             0.000000             100.000000                        1000.0                          NaN
119  1.093535   False              0.000000             0.000000             100.000000                        1000.0                          NaN
