       alpha  armijo  Global_min_finds (%)  Other_min_finds (%)  Out_of_iterations (%)  Average_number_of_iterations  Average_global_min_accuracy
90  0.897055   False                   0.0                  0.0                  100.0                        1000.0                          NaN
91  0.988155   False                   0.0                  0.0                  100.0                        1000.0                          NaN
92  1.034575   False                   0.0                  0.0                  100.0                        1000.0                          NaN
93  1.038617   False                   0.0                  0.0                  100.0                        1000.0                          NaN
94  1.057609   False                   0.0                  0.0                  100.0                        1000.0                          NaN
95  1.063880   False                   0.0                  0.0                  100.0                        1000.0                          NaN
96  1.078742   False                   0.0                  0.0                  100.0                        1000.0                          NaN
97  1.078773   False                   0.0                  0.0                  100.0                        1000.0                          NaN
98  1.081410   False                   0.0                  0.0                  100.0                        1000.0                          NaN
99  1.082458   False                   0.0                  0.0                  100.0                        1000.0                          NaN
